Full_Address,Bedrooms,Bathrooms,Price,Latitude,Longitude,City_Brampton,City_Markham,City_Mississauga,City_Toronto,City_Vaughan,Home_Type_CONDO,Home_Type_SINGLE_FAMILY,Home_Type_TOWNHOUSE
"119 Crocus Dr, Toronto, ON M1R 4T4",3,2,999000,43.702477,-79.522064,0,0,0,1,0,0,0,1
"145 Howland Ave, Toronto, ON M5R 3B4",4,4,3100000,43.760777,-79.52685,0,0,0,1,0,0,1,0
"30 Meadowglen Pl #303, Toronto, ON M1G 2V6",1,1,493500,43.779842,-79.28196,0,0,0,1,0,1,0,0
"770 Bay St UNIT 1402, Toronto, ON M5G 0A6",2,2,699000,43.640995,-79.41626,0,0,0,1,0,1,0,0
"5 Ronan Ave, Toronto, ON M4N 2X8",4,2,1899000,43.734467,-79.44637,0,0,0,1,0,1,0,0
"25 Berryman St, Toronto, ON M5R 1M7",4,4,5450000,43.762714,-79.34648,0,0,0,1,0,1,0,0
"245 Dalesford Rd #316, Toronto, ON M8Y 4H7",2,2,749988,43.63751,-79.40058,0,0,0,1,0,1,0,0
"75 Baby Point Rd, Toronto, ON M6S 2G6",5,3,3225000,43.80704,-79.278885,0,0,0,1,0,0,1,0
"189 Pinewood Ave, Toronto, ON M6C 2V1",3,5,2525000,43.7071,-79.30629,0,0,0,1,0,0,1,0
"608 Richmond St W UNIT 419, Toronto, ON M5V 0N9",1,1,670000,43.62433,-79.490974,0,0,0,1,0,1,0,0
"66 Harper Ave, Toronto, ON M4T 2L3",4,6,8100000,43.66295,-79.32418,0,0,0,1,0,0,0,1
"17 Dundonald St UNIT 607, Toronto, ON M4Y 0E4",2,1,799980,43.749714,-79.30992,0,0,0,1,0,0,1,0
"2285 Lake Shore Blvd W #904, Toronto, ON M8V 3X9",1,1,739000,43.663628,-79.3515,0,0,0,1,0,0,0,1
"16 Guildpark Ptwy #16, Toronto, ON M1J 3P1",3,3,849000,43.751205,-79.58286,0,0,0,1,0,1,0,0
"715 Don Mills Rd #1, Toronto, ON M3C 1S5",1,1,469900,43.643063,-79.42813,0,0,0,1,0,1,0,0
"8818 Sheppard Ave E, Toronto, ON M1B 6J4",4,4,1199000,43.64377,-79.40937,0,0,0,1,0,0,0,1
"22 Western Battery Rd #119, Toronto, ON M6K 3N9",2,2,998888,43.696453,-79.39334,0,0,0,1,0,1,0,0
